                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5567,                 1.3445,                 1.1553,                0.64164,                0.33536,                0.32826,                0.15094,                 1.5287,                 1.0071,                 1.1255,             0.00022222,             0.00022222,             0.00022222
                      2,                 1.5346,                 1.0518,                 1.1504,                0.59017,                0.32842,                0.35068,                0.17177,                 1.5313,                 1.0885,                  1.123,             0.00040788,             0.00040788,             0.00040788
                      3,                 1.5613,                 1.0265,                 1.1602,                 0.6672,                0.34263,                0.35775,                0.17469,                 1.5136,                 1.0151,                 1.1178,             0.00055685,             0.00055685,             0.00055685
                      4,                 1.5355,                0.97949,                 1.1482,                0.57586,                0.39542,                0.41451,                0.20322,                 1.4952,                0.93992,                 1.1111,             0.00050192,             0.00050192,             0.00050192
                      5,                 1.5013,                0.92914,                 1.1347,                0.66434,                 0.3942,                0.42432,                0.21012,                 1.4681,                0.93173,                 1.0938,             0.00044689,             0.00044689,             0.00044689
                      6,                 1.4807,                0.89986,                 1.1209,                0.70901,                0.43027,                0.47325,                0.23746,                 1.4572,                0.88541,                 1.0895,             0.00039186,             0.00039186,             0.00039186
                      7,                 1.4646,                 0.8712,                 1.1117,                0.65054,                0.46501,                0.50008,                0.25014,                 1.4431,                0.86116,                 1.0825,             0.00033683,             0.00033683,             0.00033683
                      8,                 1.4424,                0.83906,                 1.1004,                0.64736,                 0.4771,                0.50333,                0.25505,                 1.4179,                0.84517,                  1.068,             0.00028181,             0.00028181,             0.00028181
                      9,                 1.4146,                0.81323,                   1.09,                0.68874,                0.48075,                0.52802,                0.26721,                 1.4091,                0.81049,                 1.0621,             0.00022678,             0.00022678,             0.00022678
                     10,                 1.3952,                0.79206,                 1.0804,                0.73425,                0.48487,                0.53959,                0.28002,                 1.3827,                0.79309,                 1.0527,             0.00017175,             0.00017175,             0.00017175
                     11,                 1.3727,                0.76827,                 1.0683,                0.74537,                0.51791,                0.55816,                0.28748,                 1.3802,                0.77196,                 1.0507,             0.00011672,             0.00011672,             0.00011672
                     12,                 1.3561,                0.74709,                 1.0628,                0.75409,                0.52082,                0.57158,                0.29702,                 1.3663,                0.75333,                 1.0413,             6.1698e-05,             6.1698e-05,             6.1698e-05
