                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.046,                 1.9269,                0.99108,                0.41802,                0.15832,                0.11919,                0.07808,                0.91279,                 1.1072,                0.92692,             4.4311e-05,             4.4311e-05,             4.4311e-05
                      2,                0.96685,                 1.1818,                0.95421,                0.39411,                0.21056,                0.16912,                0.10946,                0.88744,                 1.0208,                0.92022,             8.1331e-05,             8.1331e-05,             8.1331e-05
                      3,                0.94806,                 1.1088,                0.94098,                0.38042,                0.24625,                0.20362,                 0.1296,                0.89322,                0.99141,                0.92485,             0.00011104,             0.00011104,             0.00011104
                      4,                0.93215,                 1.0517,                0.93658,                0.39253,                0.27858,                 0.2331,                  0.152,                0.87953,                0.95515,                0.92354,             0.00010008,             0.00010008,             0.00010008
                      5,                 0.9137,                0.97948,                0.92866,                0.39826,                 0.3008,                0.25543,                0.16636,                0.86362,                0.92867,                0.91459,              8.911e-05,              8.911e-05,              8.911e-05
                      6,                 0.8933,                0.94616,                0.92157,                0.44886,                0.30106,                 0.2769,                0.18122,                0.85109,                0.89546,                0.91105,             7.8137e-05,             7.8137e-05,             7.8137e-05
                      7,                0.88079,                0.91707,                0.91645,                0.46154,                0.31632,                0.29493,                0.19306,                0.84416,                 0.8872,                0.90836,             6.7165e-05,             6.7165e-05,             6.7165e-05
                      8,                0.86813,                0.89129,                0.91343,                0.46462,                0.33549,                 0.3091,                0.20217,                0.83654,                0.86536,                0.90424,             5.6193e-05,             5.6193e-05,             5.6193e-05
                      9,                0.85345,                0.86141,                0.90634,                0.47637,                 0.3324,                0.31995,                0.20877,                 0.8253,                 0.8502,                0.90106,              4.522e-05,              4.522e-05,              4.522e-05
                     10,                0.84351,                 0.8453,                0.90215,                 0.4269,                0.33741,                 0.3263,                0.21208,                0.82455,                0.84378,                0.90029,             3.4248e-05,             3.4248e-05,             3.4248e-05
                     11,                0.83636,                0.83095,                0.90079,                0.49798,                0.34054,                 0.3331,                0.21912,                 0.8179,                0.83373,                0.89882,             2.3275e-05,             2.3275e-05,             2.3275e-05
                     12,                0.83018,                0.81308,                0.89512,                0.46852,                0.34488,                0.33612,                0.22092,                0.81695,                0.83184,                0.89856,             1.2303e-05,             1.2303e-05,             1.2303e-05
